Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply
MovieBloc (MBL),$0.002485,+0.28%,+0.05%,-12.25%,"$37,905,446","$1,323,212 (532,442,770 MBL)","15,272,406,221 MBL"
Cocos-BCX (COCOS),$0.5343,+0.94%,+0.81%,-10.52%,"$37,889,413","$4,161,140 (7,788,288 COCOS)","70,931,748 COCOS"
Electroneum (ETN),$0.00211,-0.18%,+0.49%,-4.24%,"$36,878,694","$27,277 (12,929,777 ETN)","17,935,584,785 ETN"
Divi (DIVI),$0.01182,-0.56%,-2.20%,-11.10%,"$37,929,765","$231,548 (19,594,030 DIVI)","3,200,692,670 DIVI"
RAMP (RAMP),$0.07872,-0.41%,-1.90%,-41.28%,"$37,594,742","$4,720 (59,954 RAMP)","477,838,740 RAMP"
Mines of Dalarnia (DAR),$0.1203,-0.12%,+1.00%,-19.19%,"$37,235,198","$8,768,326 (72,903,027 DAR)","310,491,258 DAR"
Wirex Token (WXT),$0.003729,+0.19%,+0.35%,-7.30%,"$37,300,982","$54,692 (14,665,527 WXT)","10,000,000,000 WXT"
Badger DAO (BADGER),$2.20,+0.19%,-1.76%,-12.08%,"$37,031,089","$2,374,012 (1,079,058 BADGER)","16,928,536 BADGER"
Kunci Coin (KUNCI),$0.02989,+0.04%,-1.51%,+47.02%,"$36,833,338","$1,548,706 (51,815,917 KUNCI)","1,232,584,338 KUNCI"
CONUN (CON),$0.01267,+0.06%,+0.41%,+1.82%,"$36,705,744","$727,807 (57,464,720 CON)","2,897,405,859 CON"
Ankr Staked ETH (ankrETH),"$1,231.22",+0.10%,+0.56%,-1.48%,"$36,111,700","$165,576 (134 ANKRETH)","29,330 ankrETH"
RSS3 (RSS3),$0.1038,+0.23%,-0.70%,-10.82%,"$36,077,886","$775,496 (7,474,619 RSS3)","347,715,295 RSS3"
Marlin (POND),$0.007147,+0.00%,+1.16%,-12.38%,"$35,977,947","$4,859,432 (679,754,081 POND)","5,033,753,055 POND"
Metacraft (MCT),$0.6821,+0.02%,+0.51%,+5.31%,"$35,917,610","$9,871 (14,473 MCT)","52,661,120 MCT"
Alpaca Finance (ALPACA),$0.2524,-0.49%,-2.12%,+0.52%,"$35,737,922","$2,571,576 (10,179,614 ALPACA)","141,603,872 ALPACA"
Telos (TLOS),$0.1312,-0.05%,-0.01%,-10.65%,"$35,432,399","$2,180,965 (16,629,462 TLOS)","270,123,444 TLOS"
Terran Coin (TRR),$1.49,+0.36%,-8.04%,+1.20%,"$35,204,633","$360,289 (241,525 TRR)","23,653,359 TRR"
Metars Genesis (MRS),$1.52,+0.29%,-1.54%,-17.26%,"$35,161,110","$543,518 (355,958 MRS)","23,088,950 MRS"
Strike (STRK),$10.14,-0.29%,+1.17%,-7.24%,"$35,202,742","$1,881,300 (186,511 STRK)","3,491,352 STRK"
Metadium (META),$0.02084,+0.54%,-0.23%,-10.84%,"$35,101,412","$527,736 (25,325,259 META)","1,687,369,624 META"
Perpetual Protocol (PERP),$0.3917,+0.01%,+1.81%,-15.40%,"$34,613,613","$3,565,896 (9,104,193 PERP)","88,398,601 PERP"
SuperVerse (SUPER),$0.0855,+0.02%,+0.22%,-10.06%,"$34,440,883","$1,984,877 (23,214,531 SUPER)","403,829,654 SUPER"
Polkastarter (POLS),$0.3477,-0.14%,-0.97%,-7.64%,"$34,519,887","$2,007,798 (5,775,258 POLS)","99,221,432 POLS"
HUSD (HUSD),$0.154,+0.44%,+1.76%,-3.63%,"$34,260,414","$3,091 (20,079 HUSD)","222,593,861 HUSD"
CoinEx Token (CET),$0.04825,-0.02%,+0.38%,+0.59%,"$34,164,959","$275,339 (5,706,900 CET)","708,633,582 CET"
ThunderCore (TT),$0.003399,-0.18%,-0.94%,-7.90%,"$33,854,192","$1,548,342 (455,581,259 TT)","10,050,104,996 TT"
DeFi Pulse Index (DPI),$59.99,-0.29%,-0.11%,-11.32%,"$33,522,241","$53,183 (886 DPI)","558,983 DPI"
Bloktopia (BLOK),$0.001908,+0.13%,-0.35%,-11.01%,"$33,460,905","$551,184 (288,951,765 BLOK)","17,536,640,676 BLOK"
Dusk Network (DUSK),$0.08077,-0.16%,+1.75%,-8.87%,"$33,369,853","$1,987,768 (24,609,036 DUSK)","413,364,409 DUSK"
HedgeTrade (HEDG),$0.09567,-0.01%,-0.70%,-10.75%,"$33,358,230","$406 (4,245 HEDG)","348,731,468 HEDG"
Meter Governance (MTRG),$1.97,+0.12%,+2.65%,-9.02%,"$32,949,648","$354,165 (179,601 MTRG)","16,745,977 MTRG"
Gods Unchained (GODS),$0.2178,+0.33%,+0.46%,-4.08%,"$32,960,774","$1,429,108 (6,562,906 GODS)","151,410,257 GODS"
Cortex (CTXC),$0.1594,-0.56%,-4.43%,-18.81%,"$32,763,608","$12,764,929 (80,085,514 CTXC)","205,585,872 CTXC"
Tellor (TRB),$14.09,+0.13%,-0.76%,-0.14%,"$32,740,498","$4,360,790 (309,533 TRB)","2,325,706 TRB"
ARPA (ARPA),$0.02629,+0.07%,+1.26%,-11.84%,"$32,588,921","$4,333,619 (164,843,837 ARPA)","1,242,888,889 ARPA"
Venus USDT (vUSDT),$0.0219,-0.00%,-0.00%,+0.04%,"$32,552,537","$16,376,869 (747,687,772 VUSDT)","1,486,153,169 vUSDT"
Automata Network (ATA),$0.0964,+0.02%,+1.94%,-14.81%,"$31,772,956","$2,401,535 (24,911,143 ATA)","330,899,960 ATA"
NvirWorld (NVIR),$0.03347,-0.29%,-3.76%,-9.03%,"$31,214,314","$1,453,347 (43,427,453 NVIR)","933,092,385 NVIR"
Reserve (RSV),$1.07,-2.98%,+3.75%,+7.00%,"$30,855,863","$50,689 (47,219 RSV)","28,850,667 RSV"
PlatON (LAT),$0.009689,-1.86%,+2.33%,-13.37%,"$30,795,403","$2,012,194 (207,676,970 LAT)","3,155,547,656 LAT"
Hillstone Finance (HSF),$1.02,-0.02%,+1.28%,+8.09%,"$30,526,987","$1,099,316 (1,079,802 HSF)","30,011,471 HSF"
Yield Guild Games (YGG),$0.1665,+0.15%,+0.63%,-21.57%,"$30,177,907","$7,062,364 (42,408,531 YGG)","182,115,091 YGG"
Boba Network (BOBA),$0.1767,-0.02%,+3.88%,-13.01%,"$30,284,180","$2,095,087 (11,859,063 BOBA)","171,624,232 BOBA"
Star Atlas (ATLAS),$0.003047,-0.34%,+1.29%,-7.19%,"$29,862,994","$1,281,029 (420,451,210 ATLAS)","9,803,356,511 ATLAS"
Wanchain (WAN),$0.1525,-0.22%,-0.16%,-7.09%,"$29,772,643","$405,036 (2,656,079 WAN)","195,484,942 WAN"
GXChain (GXC),$0.3961,-0.06%,+1.93%,-5.66%,"$29,705,755","$2,119 (5,350 GXC)","75,000,000 GXC"
UFO Gaming (UFO),$0.000001149,+0.07%,-1.23%,-12.93%,"$29,666,206","$369,352 (321,455,241,456 UFO)","25,757,575,757,576 UFO"
Vega Protocol (VEGA),$0.7876,+0.35%,+0.79%,-13.05%,"$29,646,074","$376,868 (478,499 VEGA)","37,504,027 VEGA"
Toko Token (TKO),$0.2708,-1.10%,-2.89%,-12.61%,"$29,300,387","$6,864,702 (25,346,462 TKO)","108,500,000 TKO"
LeverFi (LEVER),$0.002077,-0.89%,-3.56%,-46.08%,"$29,012,928","$14,345,848 (6,907,314,212 LEVER)","13,989,146,556 LEVER"
Rally (RLY),$0.007903,+0.42%,-1.14%,-17.67%,"$28,964,620","$686,860 (86,910,255 RLY)","3,663,916,704 RLY"
SuperRare (RARE),$0.09277,-0.06%,-2.33%,-15.31%,"$28,503,438","$1,873,548 (20,195,899 RARE)","307,864,693 RARE"
USDK (USDK),$0.9977,-0.04%,-0.51%,-1.11%,"$28,534,606","$5,113,710 (5,125,449 USDK)","28,600,072 USDK"
S.S. Lazio Fan Token (LAZIO),$3.30,-0.63%,+0.12%,-25.39%,"$28,266,134","$9,480,298 (2,876,867 LAZIO)","8,600,000 LAZIO"
Efforce (WOZX),$0.05367,+0.04%,-4.32%,-8.49%,"$28,812,644","$238,216 (4,438,916 WOZX)","527,135,519 WOZX"
League of Kingdoms Arena (LOKA),$0.3823,+0.05%,-1.62%,-6.42%,"$28,191,568","$3,157,631 (8,260,149 LOKA)","73,874,861 LOKA"
LTO Network (LTO),$0.06898,+0.22%,+0.42%,-10.00%,"$28,176,489","$1,032,691 (14,947,075 LTO)","408,526,849 LTO"
Defigram (DFG),$2.82,+0.00%,+3.94%,-13.24%,"$28,212,130",$334 (119 DFG),"10,000,000 DFG"
Litentry (LIT),$0.7095,+0.81%,+4.13%,-10.19%,"$28,005,625","$7,443,518 (10,491,145 LIT)","39,619,383 LIT"
Æternity (AE),$0.07718,+0.02%,-1.22%,-6.39%,"$28,038,097","$98,361 (1,273,501 AE)","363,164,661 AE"
H2O DAO (H2O),$0.1247,+1.42%,-1.64%,-36.07%,"$28,015,925","$271,036 (2,174,140 H2O)","224,728,944 H2O"
Travala.com (AVA),$0.5351,+0.00%,+1.04%,-8.96%,"$27,843,226","$787,850 (1,472,802 AVA)","52,071,208 AVA"
Covalent (CQT),$0.1092,-0.04%,+1.17%,+12.70%,"$27,816,992","$170,416 (1,561,348 CQT)","254,842,989 CQT"
GameFi.org (GAFI),$5.35,+0.23%,-1.38%,-2.07%,"$27,561,335","$322,325 (60,245 GAFI)","5,162,802 GAFI"
Neblio (NEBL),$1.40,-0.07%,+1.55%,-12.37%,"$27,648,422","$755,459 (539,539 NEBL)","19,708,812 NEBL"
Virtua (TVK),$0.03139,-0.07%,-0.11%,-11.40%,"$27,427,858","$3,544,041 (112,890,510 TVK)","875,969,540 TVK"
Aurora (AURORA),$0.2326,-0.72%,+3.46%,-32.60%,"$27,439,114","$1,093,927 (4,687,527 AURORA)","117,745,591 AURORA"
BarnBridge (BOND),$3.48,+0.11%,-0.41%,-7.35%,"$27,422,825","$2,469,636 (711,267 BOND)","7,899,808 BOND"
Wrapped KardiaChain (WKAI),$0.006155,+0.09%,-3.72%,-4.79%,"$27,133,696","$341 (55,431 WKAI)","4,408,300,000 WKAI"
Cobak Token (CBK),$0.5209,+0.52%,+4.56%,-7.07%,"$26,933,365","$2,243,479 (4,307,323 CBK)","52,054,762 CBK"
Ultiledger (ULT),$0.009551,+2.49%,-0.62%,-4.15%,"$27,083,153","$26,507 (2,775,245 ULT)","2,836,429,509 ULT"
Forta (FORT),$0.1367,+9.68%,-0.60%,-4.73%,"$26,709,459","$318,868 (2,302,640 FORT)","195,479,497 FORT"
Keep3rV1 (KP3R),$63.50,-0.04%,-0.82%,-13.50%,"$26,981,682","$1,235,292 (19,436 KP3R)","425,178 KP3R"
BitShares (BTS),$0.008983,+0.19%,-2.44%,-2.72%,"$26,903,016","$1,924,619 (213,761,606 BTS)","2,994,778,137 BTS"
Ethernity (ERN),$1.74,-0.36%,-0.75%,-9.51%,"$26,892,303","$2,394,559 (1,376,127 ERN)","15,471,055 ERN"
Orion Protocol (ORN),$0.7846,-0.38%,-0.26%,-12.01%,"$26,816,505","$3,249,667 (4,141,972 ORN)","34,146,255 ORN"
KardiaChain (KAI),$0.006091,-0.29%,-1.56%,-3.11%,"$26,870,578","$3,350,988 (551,408,869 KAI)","4,408,300,000 KAI"
ICHI (ICHI),$4.35,-0.35%,-0.76%,-11.21%,"$26,754,485","$348,657 (80,130 ICHI)","6,152,663 ICHI"
Steem Dollars (SBD),$2.25,+0.16%,+0.87%,+1.43%,"$26,491,916","$850,139 (378,454 SBD)","11,838,621 SBD"
Starlink (STARL),$0.000002662,-0.16%,-1.65%,-6.79%,"$26,544,462","$1,146,172 (430,549,395,910 STARL)","9,979,172,029,858 STARL"
Klever (KLV),$0.00298,-0.47%,-5.12%,-11.91%,"$26,599,965","$1,271,564 (426,749,339 KLV)","8,880,780,407 KLV"
Euro Coin (EUROC),$1.06,+0.05%,-0.06%,-0.14%,"$26,301,393","$1,429,424 (1,345,509 EUROC)","24,906,337 EUROC"
Groestlcoin (GRS),$0.324,-0.04%,+0.17%,-2.95%,"$26,440,168","$2,123,613 (6,555,360 GRS)","81,571,254 GRS"
HUNT (HUNT),$0.2387,-0.07%,-2.84%,-7.85%,"$26,538,241","$3,294,900 (13,804,585 HUNT)","110,357,399 HUNT"
YooShi (YOOSHI),$0.00000007023,+0.26%,+0.53%,-6.38%,"$26,203,626","$77,143 (1,098,364,859,068 YOOSHI)","373,586,408,049,190 YOOSHI"
IDEX (IDEX),$0.03891,+0.01%,-0.62%,-16.19%,"$26,191,083","$1,409,255 (36,222,026 IDEX)","673,858,614 IDEX"
Celo Euro (CEUR),$1.06,-0.51%,-0.19%,-0.85%,"$24,385,620","$19,607 (18,500 CEUR)","24,663,278 CEUR"
BakeryToken (BAKE),$0.135,+0.09%,-0.02%,-19.55%,"$26,038,806","$3,298,486 (24,424,703 BAKE)","193,529,276 BAKE"
Verasity (VRA),$0.00252,+0.45%,-2.65%,-13.30%,"$26,090,163","$2,654,713 (1,053,542,859 VRA)","10,343,094,362 VRA"
Tokenlon Network Token (LON),$0.5836,+0.68%,-0.86%,+1.33%,"$26,113,268","$788,182 (1,350,630 LON)","44,559,365 LON"
e-Radix (EXRD),$0.03536,-0.04%,-0.29%,-8.92%,"$25,975,709","$106,126 (3,001,062 EXRD)","734,834,633 EXRD"
DIA (DIA),$0.2829,-0.14%,+1.59%,-6.62%,"$25,623,328","$1,575,571 (5,570,030 DIA)","90,613,091 DIA"
VerusCoin (VRSC),$0.3557,-3.35%,-6.46%,+3.16%,"$25,589,458","$11,728 (32,967 VRSC)","71,993,317 VRSC"
Beefy Finance (BIFI),$319.35,-0.18%,-0.66%,-10.63%,"$25,701,545","$623,721 (1,953 BIFI)","80,000 BIFI"
TrueFi (TRU),$0.02749,-0.07%,-1.45%,-17.51%,"$25,466,402","$1,788,600 (65,065,019 TRU)","928,230,778 TRU"
Komodo (KMD),$0.1872,+0.16%,-3.00%,-8.25%,"$25,323,986","$1,185,881 (6,333,489 KMD)","135,262,229 KMD"
DXdao (DXD),$513.22,-0.06%,-0.53%,-3.31%,"$25,342,037","$5,775 (11 DXD)","49,320 DXD"
TomoChain (TOMO),$0.2697,-0.09%,+0.40%,-11.83%,"$25,246,339","$3,190,737 (11,831,064 TOMO)","93,740,900 TOMO"
Choise.com (CHO),$0.9185,+0.04%,-1.15%,-0.41%,"$24,850,653","$431,485 (469,768 CHO)","27,054,855 CHO"
LCX (LCX),$0.03209,+0.52%,+5.95%,-6.62%,"$24,779,889","$147,336 (4,591,461 LCX)","771,584,751 LCX"
Rarible (RARI),$1.71,-0.53%,-4.32%,-12.36%,"$24,736,491","$548,522 (320,423 RARI)","14,441,025 RARI"
Bounce Governance Token (AUCTION),$4.04,+0.12%,-1.44%,-15.95%,"$24,596,814","$915,917 (226,872 AUCTION)","6,100,000 AUCTION"
MonaCoin (MONA),$0.373,-0.44%,-8.87%,+2.31%,"$24,491,755","$229,258 (614,663 MONA)","65,729,675 MONA"
Wrapped NXM (WNXM),$8.45,-0.22%,-0.13%,-17.01%,"$24,456,726","$6,825,309 (807,337 WNXM)","2,896,294 WNXM"
Cult DAO (CULT),$0.000005661,-0.07%,+4.23%,-3.13%,"$24,424,404","$1,227,842 (216,886,005,108 CULT)","4,318,690,730,920 CULT"
Alpine F1 Team Fan Token (ALPINE),$2.14,+0.18%,+1.46%,-12.21%,"$24,344,759","$13,783,611 (6,430,123 ALPINE)","11,360,000 ALPINE"
Raydium (RAY),$0.1442,-0.07%,+0.15%,-19.54%,"$24,190,319","$3,491,610 (24,212,592 RAY)","167,998,454 RAY"
QuickSwap (QUICK),$47.08,-0.20%,+0.36%,-8.11%,"$24,195,717","$1,805,741 (38,356 QUICK)","513,997 QUICK"
Carry (CRE),$0.002743,+0.29%,-2.58%,-12.18%,"$24,111,795","$2,710,510 (988,077,709 CRE)","8,790,810,727 CRE"
Linear Finance (LINA),$0.00525,-0.19%,+0.88%,-15.25%,"$23,941,012","$2,581,785 (491,769,664 LINA)","4,566,314,719 LINA"
CLV (CLV),$0.0541,+0.18%,-0.70%,-9.55%,"$23,953,039","$2,034,537 (37,581,454 CLV)","442,756,349 CLV"
Alchemix (ALCX),$14.37,-0.09%,-0.21%,-12.09%,"$23,986,130","$865,921 (60,375 ALCX)","1,669,313 ALCX"
XMON (XMON),"$15,937.24",-0.17%,-7.37%,+0.02%,"$23,824,859","$254,228 (16 XMON)","1,495 XMON"
CoinPoker (CHP),$0.08565,+0.02%,-1.89%,-8.48%,"$23,529,992","$10,265 (119,852 CHP)","274,720,612 CHP"
Flamingo (FLM),$0.07504,-0.72%,+0.40%,-17.13%,"$23,433,048","$793,742 (10,553,376 FLM)","312,284,062 FLM"
RAI Finance (SOFI),$0.08339,-0.04%,-1.63%,-12.29%,"$23,414,728","$452,510 (5,416,760 SOFI)","280,792,750 SOFI"
Bytom (BTM),$0.01309,+0.11%,+0.93%,-4.90%,"$23,306,480","$456,559 (34,889,964 BTM)","1,779,865,144 BTM"
Qredo (QRDO),$0.1053,-0.08%,-1.22%,-8.95%,"$23,214,283","$452,516 (4,297,577 QRDO)","220,378,943 QRDO"
Unibright (UBT),$0.1532,+0.02%,+1.04%,+2.96%,"$22,979,342","$82,551 (534,767 UBT)","149,999,999 UBT"
Elitium (EUM),$0.8255,+0.24%,+10.34%,+2.05%,"$23,046,251","$171,295 (207,499 EUM)","27,916,379 EUM"
Sentinel Protocol (UPP),$0.05006,+0.06%,-0.60%,-2.74%,"$23,044,113","$997,771 (19,929,629 UPP)","459,834,811 UPP"
Unibright (UBT),$0.1532,+0.02%,+1.04%,+2.96%,"$22,975,132","$82,551 (538,961 UBT)","149,999,999 UBT"
"FirmaChain (FCT,FCT2)",$0.03947,+0.03%,-1.41%,-8.41%,"$22,964,620","$1,508,916 (38,229,032 FCT,FCT2)","580,785,175 FCT,FCT2"
Dego Finance (DEGO),$1.60,-0.32%,+4.55%,-10.31%,"$22,752,733","$3,571,502 (2,227,645 DEGO)","14,166,480 DEGO"
NULS (NULS),$0.1871,-0.35%,-1.73%,-11.19%,"$22,665,849","$726,006 (3,879,904 NULS)","121,211,448 NULS"
Mint Marble (MIM),$0.671,-0.86%,+3.67%,+0.38%,"$22,627,161","$129,939 (193,648 MIM)","33,800,000 MIM"
Moss Coin (MOC),$0.05972,+0.76%,+1.07%,-5.60%,"$22,625,027","$4,579,776 (76,682,447 MOC)","379,623,956 MOC"
Refereum (RFR),$0.004495,+0.39%,-0.59%,-11.07%,"$22,426,250","$723,269 (160,913,299 RFR)","4,999,180,100 RFR"
TROY (TROY),$0.002512,+0.17%,+0.44%,-6.48%,"$22,363,167","$345,646 (137,622,451 TROY)","8,905,660,523 TROY"
Splintershards (SPS),$0.02573,-0.13%,-2.84%,-14.94%,"$22,152,089","$1,609,711 (62,566,583 SPS)","861,819,094 SPS"
Astrafer (ASTRAFER),$1.58,-0.18%,+0.18%,-12.87%,"$22,174,095","$14,831 (9,402 ASTRAFER)","14,054,121 ASTRAFER"
SONM (BEP-20) (SNM),$0.4974,-0.14%,-1.79%,-15.21%,"$22,042,649","$3,164,949 (6,362,636 SNM)","44,400,000 SNM"
Freeway Token (FWT),$0.002207,-0.99%,-5.23%,-30.75%,"$22,073,854","$21,534 (9,756,127 FWT)","10,000,000,000 FWT"
Wilder World (WILD),$0.2283,+0.71%,+1.81%,+0.96%,"$21,913,006","$434,253 (1,901,743 WILD)","96,007,434 WILD"
Sweat Economy (SWEAT),$0.0107,+0.59%,+6.12%,-18.15%,"$21,915,290","$813,097 (76,009,610 SWEAT)","2,049,222,600 SWEAT"
AIOZ Network (AIOZ),$0.03286,-0.03%,-0.97%,-14.45%,"$21,882,254","$93,648 (2,849,785 AIOZ)","666,934,805 AIOZ"
Gas (GAS),$2.15,+0.04%,+0.43%,-4.56%,"$21,735,151","$2,491,080 (1,160,335 GAS)","10,128,375 GAS"
Cream Finance (CREAM),$11.65,-0.18%,-0.37%,-7.75%,"$21,640,838","$1,119,344 (96,044 CREAM)","1,855,659 CREAM"
Swarm (BZZ),$0.4487,+0.10%,-0.07%,-7.05%,"$21,585,362","$576,825 (1,285,507 BZZ)","48,145,890 BZZ"
Bitcoin Diamond (BCD),$0.1152,-0.13%,-6.42%,-13.17%,"$21,493,433","$156,459 (1,357,586 BCD)","186,492,898 BCD"
StreamCoin (STRM),$0.01518,+0.44%,+8.63%,-1.51%,"$21,464,031","$6,695,536 (440,934,505 STRM)","1,408,334,519 STRM"
BENQI (QI),$0.006606,-0.37%,-0.79%,-8.58%,"$21,364,043","$1,685,424 (255,143,434 QI)","3,233,989,068 QI"
VIDT DAO (VIDT),$0.02772,-0.91%,-2.17%,-11.65%,"$21,330,667","$4,773,040 (172,213,231 VIDT)","770,011,370 VIDT"
GMT Token (GMT),$0.08083,+0.00%,-1.34%,-7.19%,"$21,307,120","$1,013,184 (12,535,368 GMT)","263,581,074 GMT"
Proton (XPR),$0.001533,+0.76%,-1.08%,-18.33%,"$21,344,682","$1,159,280 (756,407,168 XPR)","13,890,101,041 XPR"
REI Network (REI),$0.02241,+0.41%,+0.23%,-8.14%,"$21,268,962","$515,316 (22,996,736 REI)","950,000,000 REI"
Paris Saint-Germain Fan Token (PSG),$5.49,+0.38%,-0.81%,-11.58%,"$21,086,373","$3,618,948 (659,135 PSG)","3,840,913 PSG"
Santos FC Fan Token (SANTOS),$4.62,+0.02%,+1.18%,-21.65%,"$21,030,345","$7,691,034 (1,664,314 SANTOS)","4,550,000 SANTOS"
Fusion (FSN),$0.2835,-2.58%,+19.20%,+19.92%,"$20,821,742","$1,413,567 (4,985,566 FSN)","73,452,364 FSN"
FC Porto Fan Token (PORTO),$2.66,-0.12%,+1.43%,-17.08%,"$20,751,237","$7,154,535 (2,687,684 PORTO)","7,800,000 PORTO"
GYEN (GYEN),$0.007528,-0.10%,-0.57%,+3.32%,"$20,578,956","$196,298 (26,077,154 GYEN)","2,733,961,999 GYEN"
TokenPocket (TPT),$0.005933,+0.13%,+2.85%,-13.14%,"$20,558,166","$71,749 (12,093,887 TPT)","3,466,457,400 TPT"
Harvest Finance (FARM),$30.18,-0.21%,+0.54%,-11.07%,"$20,567,655","$634,490 (21,022 FARM)","681,175 FARM"
Mango (MNGO),$0.0204,-0.88%,+0.56%,-5.25%,"$20,342,948","$35,286 (1,729,979 MNGO)","1,000,000,000 MNGO"
Ellipsis (EPS),$0.02815,+0.01%,-0.34%,-7.11%,"$20,366,309","$287,408 (10,198,262 EPS)","723,701,572 EPS"
Guild of Guardians (GOG),$0.06422,-1.76%,+1.85%,-3.21%,"$19,905,304","$266,496 (4,094,907 GOG)","310,000,000 GOG"
DEAPcoin (DEP),$0.00276,-1.23%,-7.03%,-14.44%,"$19,938,032","$1,252,484 (452,316,096 DEP)","7,231,239,464 DEP"
FIO Protocol (FIO),$0.02754,-0.49%,-0.52%,-13.06%,"$19,960,759","$1,147,373 (41,670,234 FIO)","724,406,848 FIO"
Kepple (QLC),$0.03294,-1.56%,-1.73%,-32.14%,"$19,765,974","$815,207 (24,624,265 QLC)","600,000,000 QLC"
CoinLoan (CLT),$10.17,-0.05%,-27.11%,+24.98%,"$19,829,127","$5,268 (518 CLT)","1,950,000 CLT"
Alpha Quark Token (AQT),$0.7434,+0.13%,+2.91%,-12.27%,"$19,816,520","$4,985,583 (6,711,911 AQT)","26,640,784 AQT"
Boson Protocol (BOSON),$0.1899,-1.37%,-0.29%,-12.13%,"$19,755,907","$1,833,813 (9,645,520 BOSON)","104,070,384 BOSON"
Firo (FIRO),$1.66,-0.30%,+0.02%,-8.84%,"$19,618,362","$847,407 (512,047 FIRO)","11,852,975 FIRO"
Bella Protocol (BEL),$0.4038,-0.38%,+1.22%,-13.81%,"$19,383,149","$1,713,139 (4,242,255 BEL)","48,000,000 BEL"
Adventure Gold (AGLD),$0.2754,-0.37%,-0.55%,-5.51%,"$19,319,278","$2,505,575 (9,091,853 AGLD)","70,170,001 AGLD"
Gitcoin (GTC),$1.35,-0.29%,+0.01%,-16.40%,"$19,212,456","$3,083,075 (2,279,166 GTC)","14,198,202 GTC"
Hermez Network (HEZ),$4.07,-0.21%,-0.00%,-0.82%,"$19,123,608","$308,792 (75,870 HEZ)","4,700,000 HEZ"
Kava Lend (HARD),$0.14,-0.33%,-0.60%,-10.35%,"$18,869,024","$516,341 (3,684,895 HARD)","134,791,668 HARD"
FC Barcelona Fan Token (BAR),$3.49,-0.09%,+0.14%,-1.39%,"$18,868,401","$1,795,471 (514,345 BAR)","5,403,887 BAR"
Ellipsis (EPX),$0.0002957,-0.43%,+0.97%,-8.73%,"$18,634,928","$1,164,244 (3,934,047,880 EPX)","63,024,052,390 EPX"
VITE (VITE),$0.01975,-0.25%,+2.78%,-17.73%,"$18,558,066","$696,256 (35,247,468 VITE)","939,666,420 VITE"
Contentos (COS),$0.004449,+0.16%,-0.43%,-9.55%,"$18,496,623","$1,487,366 (334,349,445 COS)","4,159,122,876 COS"
Unifi Protocol DAO (UNFI),$3.73,-0.75%,+0.81%,-18.06%,"$18,460,579","$5,628,077 (1,508,353 UNFI)","4,945,406 UNFI"
Elastos (ELA),$0.9024,+0.01%,+0.39%,-7.74%,"$18,334,596","$99,467 (110,297 ELA)","20,346,868 ELA"
IRISnet (IRIS),$0.01274,-0.35%,+0.28%,-10.38%,"$18,425,053","$587,454 (46,288,602 IRIS)","1,445,156,854 IRIS"
Router Protocol (ROUTE),$1.88,-0.24%,-4.14%,-13.01%,"$18,223,585","$830,429 (441,297 ROUTE)","9,694,430 ROUTE"
1eco (1ECO),$0.6852,+0.31%,-0.53%,-20.68%,"$18,118,335","$935 (1,365 1ECO)","26,441,001 1ECO"
OpenDAO (SOS),$0.0000001809,+1.79%,-15.79%,+14.94%,"$18,169,174","$5,609,697 (31,010,859,675,824 SOS)","100,000,000,000,000 SOS"
TerraKRW (KRT),$0.0004666,-0.05%,-3.29%,-8.94%,"$17,966,906",--,"38,527,929,611 KRT"
CENNZnet (CENNZ),$0.01489,-0.31%,+1.74%,-0.03%,"$17,857,388","$679,552 (45,658,581 CENNZ)","1,200,000,000 CENNZ"
DeGate (DG),$0.0958,+0.01%,+1.10%,-12.44%,"$17,852,648","$328,423 (3,428,107 DG)","186,342,038 DG"
Bluzelle (BLZ),$0.05193,-0.65%,-0.77%,-18.18%,"$17,708,913","$3,877,309 (74,456,248 BLZ)","340,999,974 BLZ"
Metahero (HERO),$0.003452,+0.51%,-0.13%,-5.69%,"$17,588,400","$545,926 (157,871,660 HERO)","5,095,643,290 HERO"
Phoenix (PHB),$0.4716,-0.41%,-1.72%,-30.59%,"$17,482,539","$4,239,170 (8,989,400 PHB)","37,136,775 PHB"
ONBUFF (ONIT),$0.0226,+0.31%,-3.17%,-9.80%,"$17,420,700","$505,611 (22,369,813 ONIT)","770,075,466 ONIT"
Ambire AdEx (ADX),$0.122,+0.11%,+0.14%,-8.25%,"$17,388,991","$1,317,795 (10,798,832 ADX)","142,557,534 ADX"
Nestree (EGG),$0.006477,-0.57%,+0.40%,-4.54%,"$17,326,716","$476,114 (73,513,692 EGG)","2,675,880,474 EGG"
Streamr (DATA),$0.02252,-0.38%,-2.08%,-11.96%,"$17,272,992","$837,235 (37,177,026 DATA)","767,121,867 DATA"
Saito (SAITO),$0.0162,+0.03%,-0.86%,-15.04%,"$17,253,044","$490,528 (30,285,315 SAITO)","1,065,408,547 SAITO"
TrustSwap (SWAP),$0.1718,-0.05%,+1.84%,-8.88%,"$17,258,696","$1,398,137 (8,135,954 SWAP)","99,995,164 SWAP"
Manchester City Fan Token (CITY),$3.98,-0.46%,-1.15%,-3.71%,"$17,157,793","$1,828,768 (459,946 CITY)","4,314,458 CITY"
